MATRIC,REC,TUT,Notes
A0308691X,R12,T24,
A0308700N,R14,T26,
A0308701M,R07,T36,
A0308702L,R09,T55,
A0308704H,R16,T06,
A0308705E,R10,T59,
A0308707B,R09,T16,
A0308709X,R06,T27,
A0308715A,R22,T48,
A0308718X,R22,T02,
A0308720L,R10,T10,
A0308730J,R08,T23,
A0308732E,R04,T29,
A0308739R,R21,T35,
A0308755W,R04,T61,
A0308766R,R11,T01,
A0308776N,R23,T43,
A0308779J,R11,T45,
A0308780Y,R03,T05,
A0308784R,R12,T19,
A0308785N,R18,T17,
A0308786M,R07,T31,
A0308788J,R04,T03,
A0308789H,R20,T49,
A0308797J,R19,T39,
A0308798H,R23,T08,
A0308802J,R04,T65,
A0308806B,R16,T30,
A0308809W,R03,T16,
A0308811J,R01,T51,
A0308868L,R18,T52,
A0308869J,R03,T02,
A0308871X,R03,T22,
A0308873U,R23,T55,
A0308875N,R06,T58,
A0308881W,R01,T28,
A0308884N,R07,T14,
A0308893N,R01,T49,
A0308897H,R09,T39,
A0308898E,R02,T52,
A0308900L,R05,T47,
A0308914B,R01,T64,
A0308917W,R22,T29,
A0308918U,R01,T60,
A0308923B,R02,T08,
A0308924Y,R18,T06,
A0308925X,R09,T54,
A0308941B,R18,T34,
A0308952X,R16,T53,
A0308960Y,R16,T54,
A0308962W,R08,T25,
A0308968J,R06,T29,
A0308969H,R15,T56,
A0308974N,R21,T65,
A0308976L,R22,T18,
A0308977J,R04,T10,
A0308983N,R14,T14,
A0308985L,R02,T58,
A0308995J,R22,T45,
A0308999B,R16,T06,
A0309000B,R16,T22,
A0309004U,R10,T17,
A0309005R,R02,T51,
A0309012W,R12,T20,
A0309018J,R23,T57,
A0309021W,R11,T39,
A0309022U,R09,T08,
A0309043M,R20,T24,
A0309044L,R09,T60,
A0309048A,R07,T13,
A0309067B,R15,T48,
A0309068Y,R07,T33,
A0309070M,R03,T06,
A0309076B,R05,T15,
A0309077Y,R19,T31,
A0309080L,R22,T30,
A0309081J,R17,T13,
A0309082H,R17,T31,
A0309085B,R18,T30,
A0309086Y,R05,T03,
A0309092E,R08,T33,
A0309093A,R07,T65,
A0309094B,R16,T31,
A0309103U,R16,T32,
A0309104R,R15,T48,
A0309108J,R17,T62,
A0309115M,R09,T01,
A0309116L,R02,T12,
A0309122R,R19,T07,
A0309127H,R16,T15,
A0309138A,R22,T23,
A0309143L,R17,T22,
A0309145H,R22,T50,
A0309146E,R06,T49,
A0309147A,R18,T11,
A0309148B,R04,T28,
A0309152L,R03,T59,
A0309153J,R19,T06,
A0309154H,R23,T05,
A0309160M,R09,T01,
A0309161L,R18,T63,
A0309162J,R15,T20,
A0309166B,R17,T38,
A0309172H,R06,T52,
A0309173E,R07,T09,
A0309174A,R23,T08,
A0309175B,R11,T14,
A0309176Y,R09,T56,
A0309182E,R22,T58,
A0309206L,R16,T30,
A0309207J,R09,T36,
A0309209E,R13,T12,
A0309210W,R08,T51,
A0309212R,R15,T04,
A0309214M,R21,T61,
A0309215L,R19,T60,
A0309219A,R10,T27,
A0309225J,R04,T57,
A0309229B,R14,T02,
A0309230R,R16,T16,
A0309236E,R02,T26,
A0309241M,R20,T65,
A0309246A,R15,T34,
A0309247B,R05,T37,
A0309249X,R19,T07,
A0309250M,R08,T30,
A0309260L,R03,T53,
A0309277W,R12,T19,
A0309282A,R09,T44,
A0309291A,R02,T24,
A0309313M,R05,T33,
A0309314L,R13,T32,
A0309324J,R07,T61,
A0309330N,R13,T34,
A0309331M,R23,T24,
A0309334H,R23,T59,
A0309342J,R11,T50,
A0309347Y,R09,T58,
A0309349W,R19,T03,
A0309353E,R01,T35,
A0309356Y,R17,T51,
A0309359U,R16,T57,
A0309476U,R09,T39,
A0309552A,R20,T57,
A0309582X,R13,T06,
A0309595N,R04,T55,
A0310212H,R10,T26,
A0310258M,R02,T27,
A0310264U,R06,T37,
A0310290W,R15,T28,
A0310318U,R19,T01,
A0310324Y,PC1101 clash + no appeal,T54,PC1101 clash + no appeal
A0310325X,R17,T25,
A0310470W,R04,T01,
A0310585H,R21,T21,
A0310592L,R16,T50,
A0310618M,R21,T63,
